[08:27:08][dlc.cpp:336]: Invalid supported_version in  file: mod/ugc_2397963108.mod line: 6
[08:27:08][dlc.cpp:336]: Invalid supported_version in  file: mod/ugc_2532715348.mod line: 10
[08:27:17][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 85
" in file: "common/modifiers/00_egypt_missions.txt" near line: 85
[08:27:17][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 93
" in file: "common/modifiers/00_egypt_missions.txt" near line: 93
[08:27:17][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 108
" in file: "common/modifiers/00_egypt_missions.txt" near line: 108
[08:27:17][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 113
" in file: "common/modifiers/00_egypt_missions.txt" near line: 113
[08:27:17][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 134
" in file: "common/modifiers/00_egypt_missions.txt" near line: 134
[08:27:17][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 138
" in file: "common/modifiers/00_egypt_missions.txt" near line: 138
[08:27:17][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 182
" in file: "common/modifiers/00_egypt_missions.txt" near line: 182
[08:27:17][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 194
" in file: "common/modifiers/00_egypt_missions.txt" near line: 194
[08:27:17][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 221
" in file: "common/modifiers/00_egypt_missions.txt" near line: 221
[08:27:17][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 232
" in file: "common/modifiers/00_egypt_missions.txt" near line: 232
[08:27:17][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: state_fort_limit, near line: 14
" in file: "common/modifiers/00_from_events_state.txt" near line: 14
[08:27:17][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 1204
" in file: "common/modifiers/00_from_missions.txt" near line: 1204
[08:27:17][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 1210
" in file: "common/modifiers/00_from_missions.txt" near line: 1210
[08:27:17][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 1366
" in file: "common/modifiers/00_from_missions.txt" near line: 1366
[08:27:17][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 1603
" in file: "common/modifiers/00_from_missions.txt" near line: 1603
[08:27:17][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 1620
" in file: "common/modifiers/00_from_missions.txt" near line: 1620
[08:27:17][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: local_commerce_value_modifier, near line: 1825
" in file: "common/modifiers/00_from_missions.txt" near line: 1825
[08:27:17][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: available_holdings, near line: 425
" in file: "common/modifiers/00_hardcoded.txt" near line: 425
[08:27:17][pdx_persistent_reader.cpp:229]: Error: "Unexpected token: holdings_possible_for_character, near line: 564
" in file: "common/modifiers/00_hardcoded.txt" near line: 564
[08:27:18][modifier.h:1251]: Missing Icon for Modifier : 
[08:27:18][modifier.h:1251]: Missing Icon for Modifier : 
[08:27:18][modifier.h:1251]: Missing Icon for Modifier : 
[08:27:18][modifier.h:1251]: Missing Icon for Modifier : 
[08:27:18][modifier.h:1251]: Missing Icon for Modifier : 
[08:27:18][modifier.h:1251]: Missing Icon for Modifier : 
[08:27:18][modifier.h:1251]: Missing Icon for Modifier : MODIFIER_STATE_FORT_LIMIT
[08:27:54][pdx_assert.cpp:612]: Assertion failed: TagID < NDefines::NGame::TAG_LIMIT
[09:35:31][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/console.gui:153 - Widget (id '14214') has not been destroyed
[09:35:31][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/console.gui:158 - Widget (id '14217') has not been destroyed
[09:35:31][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/console.gui:167 - Widget (id '14224') has not been destroyed
[09:35:31][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/console.gui:59 - Widget (id '14154') has not been destroyed
[09:35:31][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/console.gui:22 - Widget (id '14128') has not been destroyed
[09:35:31][/mnt/gsg/imperator-rome/sulla/clausewitz/clausewitz/pdx_guieditor/gui_editor.cpp:695]: gui/console.gui:127 - Widget (id '14199') has not been destroyed
